snapshot_utc,snapshot_date,snapshot_kind,event,deadline_time,id,web_name,team,position,now_cost,cost_change_event,cost_change_start,selected_by_percent,transfers_in_event,transfers_out_event,transfers_in,transfers_out,status,news,news_added,chance_of_playing_this_round,chance_of_playing_next_round,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order,form,event_points,total_points,minutes,ep_this,ep_next
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,114,Boscagli,BHA,DEF,45,0,0,0.1,0,0,0,0,a,,,,,,,,0.0,0,39,799,,1.7
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,115,De Cuyper,BHA,DEF,45,0,0,1.7,0,0,0,0,a,,,,,,4,,0.0,0,84,1404,,1.7
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,116,Dunk,BHA,DEF,45,0,0,0.7,0,0,0,0,a,,,,,,3,,0.0,0,100,2837,,1.7
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,117,Coppola,BHA,DEF,45,0,0,0.0,0,0,0,0,a,,,,,,,,0.0,0,10,193,,1.7
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,118,Igor,BHA,DEF,45,0,0,0.1,0,0,0,0,a,,,,,,,,0.0,0,6,103,,1.7
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,119,Costinha,BHA,DEF,45,0,0,0.0,0,0,0,0,a,,,,,,,,0.0,0,0,0,,1.7
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,120,Svoboda,BHA,DEF,50,0,0,0.1,0,0,0,0,a,,,,,,,,0.0,0,0,0,,2.2
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,121,Mitoma,BHA,MID,60,0,0,0.3,0,0,0,0,i,Hamstring injury - Unknown return date,2026-07-24T18:30:10.661894Z,,0,,,,0.0,0,62,1714,,0.0
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,122,Minteh,BHA,MID,60,0,0,0.7,0,0,0,0,a,,,,,,,6,0.0,0,117,2389,,2.1
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,123,Hinshelwood,BHA,MID,60,0,0,0.3,0,0,0,0,a,,,,,,,,0.0,0,91,1736,,2.1
